Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adventure,0.27388768,0.214616156,0.237044941,0.207743616,0.204756673,0.225135697,0.137508233,0.168993737,0.157218739,0.144962229,0.120018721,0.111033384
Action,0.178020395,0.218827976,0.160640913,0.137334961,0.134768088,0.152958431,0.262337806,0.196454921,0.233686454,0.257217853,0.303561078,0.288058832
Comedy,0.178909204,0.161968512,0.170564079,0.194129428,0.152212676,0.184501278,0.165591603,0.189699535,0.143848704,0.112121243,0.111216152,0.088261536
Drama,0.131223648,0.162871965,0.158405046,0.16699539,0.125561824,0.189308966,0.101569818,0.145141816,0.120554161,0.11287558,0.088568275,0.076569764
Thriller,0.026450551,0.028852982,0.01993927,0.046399551,0.041546099,0.025357739,0.028894681,0.021988925,0.059576621,0.033475431,0.017978291,0.040879794
Animation,0.063984957,0.046709396,0.038402664,0.103905831,0.074844238,0.068651228,0.1235382,0.115689999,0.125959952,0.122976305,0.17435117,0.040030365
Crime,0.012977678,0.009722739,0.026608628,0.02047927,0.054078101,0.006331448,0.005346793,0.014340564,0.014205573,0.019258343,0.026459406,0.015942896
History,0,0,0.0000389,0,0.002845653,0.002679838,0.009161498,0,0.004734812,0.010933612,0.000961999,0.01176132
Fantasy,0.059536926,0.027604067,0.007383023,0.043065421,0.104617114,0.064923074,0.027248463,0.041960899,0.020437422,0.021888402,0.044482775,0.064788287
Horror,0.038494813,0.04678769,0.044470676,0.040057824,0.050289026,0.012531792,0.033404969,0.033710307,0.026496597,0.018150808,0.030258117,0.035966976
Mystery,0.007080783,0.015209161,0.00734699,0.002109852,0.000081,0.008791954,0.007865584,0.002808798,0.000130532,0.00000499,0.000701428,0.014836008
War,0.00000164,0.009469995,0.00199726,0.003909664,0,0.000988445,0.005180102,0.005320955,0.00000072,0.001719452,0.005723385,0.034966368
Science Fiction,0,0.016848571,0.052868186,0.001691483,0.005315743,0.009680694,0.066369162,0.006105023,0.005266657,0.106001379,0.059426877,0.115385569
Documentary,0.00251832,0.002718325,0.007743148,0.002681775,0.00692924,0.000446617,0.001833379,0.001445839,0.006596708,0.002698612,0.000153461,0.000260121
Music,0.000495241,0.01311916,0,0.008108223,0.001153645,0.007307413,0.000320924,0,0,0.005515636,0.000919561,0.002585017
Romance,0.008015525,0.007854143,0.030940775,0.01859982,0.003123202,0.011034591,0.019537243,0.006059128,0.017041955,0.00798262,0.014656595,0.027078893
Other,0.000276381,0.006742534,0.00000251,0.00000671,0.000121996,3.97E-09,0,0.001010324,0,0.0000187,1.12E-10,1.13E-10
Family,0.0137947,0.002495828,0.035603018,0.002716057,0.034202206,0.02923717,0.004282696,0.049261979,0.06421467,0.02219455,0.000562478,0.031464672
Foreign,0,0,0,0,0,0.000133622,0,0.00000725,0.0000297,0.00000427,0,0
TV Movie,0,0,0,0,0,0,0,0,0,0,0,0
Western,0.004331563,0.007580799,0,0.0000651,0.003553493,0,0.00000885,0,0,0,0.000000231,0.000130197
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Other,0.237959073,0.241715391,0.273345021,0.293796605,0.382700739,0.248095628,0.33299254,0.299709991,0.344691942,0.372823095,0.376635774,0.436076484
